0    [main] INFO   - 	 === Sub-population #0 ===
1    [main] INFO   - 	 Initializing population...
44   [main] INFO   - 	 Mutating...
48   [main] INFO   - 	 Immigrating...
51   [main] INFO   - 	 Sorting...
35461 [main] INFO   - 	 Crossing over...
35477 [main] INFO   - 	 Sorting...
48660 [main] INFO   - 	 Culling...
48699 [main] INFO   - 	 Reporting...
48700 [main] INFO   - 	 gen=0, highest: fit=0.98452;[1, 6, 11, 13, 14, 18, 34, 37, 38, 39, 40, 41, 2, 5, 7, 8, 17, 21, 24, 29, 30, 42, 44, 47, 3, 10, 16, 19, 20, 26, 28, 31, 32, 35, 43, 48, 4, 9, 12, 15, 22, 23, 25, 27, 33, 36, 45, 46]
48700 [main] INFO   - 	 gen=0, median: fit=0.8993;[3, 11, 19, 21, 24, 27, 28, 31, 35, 39, 44, 47, 1, 7, 12, 22, 23, 25, 29, 30, 40, 42, 43, 46, 2, 4, 5, 6, 9, 13, 14, 16, 32, 34, 45, 48, 8, 10, 15, 17, 18, 20, 26, 33, 36, 37, 38, 41]
48700 [main] INFO   - 	 Mutating...
48703 [main] INFO   - 	 Immigrating...
48704 [main] INFO   - 	 Sorting...
61924 [main] INFO   - 	 Crossing over...
61927 [main] INFO   - 	 Sorting...
75100 [main] INFO   - 	 Culling...
75110 [main] INFO   - 	 Reporting...
75110 [main] INFO   - 	 gen=1, highest: fit=0.98641;[1, 2, 6, 13, 19, 20, 30, 31, 34, 37, 43, 45, 7, 8, 9, 16, 17, 26, 27, 33, 35, 39, 40, 48, 3, 4, 5, 10, 12, 15, 29, 32, 36, 38, 44, 46, 11, 14, 18, 21, 22, 23, 24, 25, 28, 41, 42, 47]
75110 [main] INFO   - 	 gen=1, median: fit=0.92053;[2, 3, 6, 9, 11, 14, 19, 32, 33, 40, 44, 45, 8, 12, 16, 17, 18, 20, 26, 28, 35, 37, 39, 42, 1, 7, 10, 15, 21, 24, 25, 31, 34, 38, 43, 46, 4, 5, 13, 22, 23, 27, 29, 30, 36, 41, 47, 48]
75110 [main] INFO   - 	 Mutating...
75113 [main] INFO   - 	 Immigrating...
75114 [main] INFO   - 	 Sorting...
88391 [main] INFO   - 	 Crossing over...
88394 [main] INFO   - 	 Sorting...
101659 [main] INFO   - 	 Culling...
101673 [main] INFO   - 	 Reporting...
101674 [main] INFO   - 	 gen=2, highest: fit=0.98813;[3, 15, 19, 22, 23, 24, 25, 31, 32, 39, 40, 45, 4, 7, 10, 14, 18, 20, 26, 33, 37, 41, 42, 44, 1, 5, 11, 12, 13, 28, 29, 30, 34, 36, 43, 48, 2, 6, 8, 9, 16, 17, 21, 27, 35, 38, 46, 47]
101674 [main] INFO   - 	 gen=2, median: fit=0.9333400000000001;[7, 8, 11, 13, 19, 20, 24, 28, 34, 38, 41, 47, 4, 6, 14, 15, 27, 29, 31, 35, 36, 39, 42, 44, 1, 3, 5, 17, 18, 21, 23, 26, 30, 37, 40, 48, 2, 9, 10, 12, 16, 22, 25, 32, 33, 43, 45, 46]
101674 [main] INFO   - 	 Mutating...
101676 [main] INFO   - 	 Immigrating...
101678 [main] INFO   - 	 Sorting...
114903 [main] INFO   - 	 Crossing over...
114907 [main] INFO   - 	 Sorting...
128192 [main] INFO   - 	 Culling...
128203 [main] INFO   - 	 Reporting...
128203 [main] INFO   - 	 gen=3, highest: fit=0.99204;[3, 5, 12, 13, 20, 28, 29, 31, 35, 37, 42, 43, 1, 2, 4, 9, 14, 16, 24, 32, 34, 38, 44, 48, 6, 7, 15, 18, 21, 22, 27, 33, 36, 40, 41, 45, 8, 10, 11, 17, 19, 23, 25, 26, 30, 39, 46, 47]
128203 [main] INFO   - 	 gen=3, median: fit=0.94239;[11, 12, 13, 15, 19, 20, 23, 29, 36, 38, 43, 46, 4, 5, 7, 8, 9, 10, 16, 17, 28, 40, 45, 47, 2, 14, 18, 21, 24, 26, 27, 33, 34, 35, 42, 48, 1, 3, 6, 22, 25, 30, 31, 32, 37, 39, 41, 44]
128203 [main] INFO   - 	 Mutating...
128206 [main] INFO   - 	 Immigrating...
128207 [main] INFO   - 	 Sorting...
141445 [main] INFO   - 	 Crossing over...
141448 [main] INFO   - 	 Sorting...
154738 [main] INFO   - 	 Culling...
154754 [main] INFO   - 	 Reporting...
154754 [main] INFO   - 	 gen=4, highest: fit=0.99204;[3, 5, 12, 13, 20, 28, 29, 31, 35, 37, 42, 43, 1, 2, 4, 9, 14, 16, 24, 32, 34, 38, 44, 48, 6, 7, 15, 18, 21, 22, 27, 33, 36, 40, 41, 45, 8, 10, 11, 17, 19, 23, 25, 26, 30, 39, 46, 47]
154754 [main] INFO   - 	 gen=4, median: fit=0.94891;[2, 5, 7, 8, 10, 11, 17, 30, 38, 41, 44, 47, 3, 4, 18, 19, 21, 26, 27, 31, 33, 39, 40, 43, 1, 9, 14, 15, 16, 20, 23, 25, 34, 35, 42, 48, 6, 12, 13, 22, 24, 28, 29, 32, 36, 37, 45, 46]
154754 [main] INFO   - 	 Mutating...
154757 [main] INFO   - 	 Immigrating...
154758 [main] INFO   - 	 Sorting...
167931 [main] INFO   - 	 Crossing over...
167935 [main] INFO   - 	 Sorting...
181249 [main] INFO   - 	 Culling...
181258 [main] INFO   - 	 Reporting...
181259 [main] INFO   - 	 gen=5, highest: fit=0.99204;[3, 5, 12, 13, 20, 28, 29, 31, 35, 37, 42, 43, 1, 2, 4, 9, 14, 16, 24, 32, 34, 38, 44, 48, 6, 7, 15, 18, 21, 22, 27, 33, 36, 40, 41, 45, 8, 10, 11, 17, 19, 23, 25, 26, 30, 39, 46, 47]
181259 [main] INFO   - 	 gen=5, median: fit=0.95479;[1, 2, 6, 20, 23, 25, 26, 30, 35, 36, 37, 43, 3, 9, 12, 15, 21, 29, 32, 33, 38, 39, 40, 45, 8, 11, 13, 14, 17, 18, 22, 27, 28, 41, 46, 48, 4, 5, 7, 10, 16, 19, 24, 31, 34, 42, 44, 47]
181259 [main] INFO   - 	 Mutating...
181261 [main] INFO   - 	 Immigrating...
181263 [main] INFO   - 	 Sorting...
194442 [main] INFO   - 	 Crossing over...
194446 [main] INFO   - 	 Sorting...
207756 [main] INFO   - 	 Culling...
207766 [main] INFO   - 	 Reporting...
207767 [main] INFO   - 	 gen=6, highest: fit=0.99346;[3, 11, 13, 18, 20, 21, 22, 30, 32, 39, 43, 48, 1, 6, 8, 9, 14, 19, 26, 29, 36, 40, 44, 46, 4, 7, 10, 12, 16, 24, 27, 28, 35, 41, 42, 45, 2, 5, 15, 17, 23, 25, 31, 33, 34, 37, 38, 47]
207767 [main] INFO   - 	 gen=6, median: fit=0.9601999999999999;[11, 14, 20, 21, 22, 26, 31, 33, 35, 40, 41, 43, 2, 4, 8, 17, 19, 23, 24, 28, 34, 36, 38, 47, 1, 3, 9, 12, 13, 15, 27, 29, 37, 42, 44, 46, 5, 6, 7, 10, 16, 18, 25, 30, 32, 39, 45, 48]
207767 [main] INFO   - 	 Mutating...
207769 [main] INFO   - 	 Immigrating...
207770 [main] INFO   - 	 Sorting...
220944 [main] INFO   - 	 Crossing over...
220947 [main] INFO   - 	 Sorting...
234259 [main] INFO   - 	 Culling...
234278 [main] INFO   - 	 Reporting...
234278 [main] INFO   - 	 gen=7, highest: fit=0.99346;[3, 11, 13, 18, 20, 21, 22, 30, 32, 39, 43, 48, 1, 6, 8, 9, 14, 19, 26, 29, 36, 40, 44, 46, 4, 7, 10, 12, 16, 24, 27, 28, 35, 41, 42, 45, 2, 5, 15, 17, 23, 25, 31, 33, 34, 37, 38, 47]
234279 [main] INFO   - 	 gen=7, median: fit=0.96325;[1, 2, 7, 14, 22, 30, 31, 32, 34, 36, 39, 44, 5, 10, 15, 17, 18, 23, 28, 33, 37, 40, 42, 48, 3, 6, 9, 11, 12, 16, 19, 24, 38, 41, 45, 46, 4, 8, 13, 20, 21, 25, 26, 27, 29, 35, 43, 47]
234279 [main] INFO   - 	 Mutating...
234281 [main] INFO   - 	 Immigrating...
234282 [main] INFO   - 	 Sorting...
247459 [main] INFO   - 	 Crossing over...
247462 [main] INFO   - 	 Sorting...
260770 [main] INFO   - 	 Culling...
260780 [main] INFO   - 	 Reporting...
260780 [main] INFO   - 	 gen=8, highest: fit=0.99346;[3, 11, 13, 18, 20, 21, 22, 30, 32, 39, 43, 48, 1, 6, 8, 9, 14, 19, 26, 29, 36, 40, 44, 46, 4, 7, 10, 12, 16, 24, 27, 28, 35, 41, 42, 45, 2, 5, 15, 17, 23, 25, 31, 33, 34, 37, 38, 47]
260780 [main] INFO   - 	 gen=8, median: fit=0.96594;[1, 2, 7, 14, 22, 30, 31, 32, 34, 35, 36, 44, 5, 10, 15, 17, 18, 23, 28, 33, 37, 40, 42, 48, 3, 6, 9, 11, 12, 16, 19, 24, 38, 41, 45, 46, 4, 8, 13, 20, 21, 25, 26, 27, 29, 39, 43, 47]
260781 [main] INFO   - 	 Mutating...
260783 [main] INFO   - 	 Immigrating...
260784 [main] INFO   - 	 Sorting...
273957 [main] INFO   - 	 Crossing over...
273960 [main] INFO   - 	 Sorting...
287266 [main] INFO   - 	 Culling...
287285 [main] INFO   - 	 Reporting...
287285 [main] INFO   - 	 gen=9, highest: fit=0.99605;[1, 2, 11, 19, 25, 27, 29, 34, 35, 36, 39, 45, 5, 6, 7, 13, 18, 20, 23, 30, 31, 41, 43, 48, 9, 12, 15, 17, 21, 22, 26, 28, 32, 40, 42, 47, 3, 4, 8, 10, 14, 16, 24, 33, 37, 38, 44, 46]
287285 [main] INFO   - 	 gen=9, median: fit=0.96871;[1, 3, 5, 17, 18, 21, 22, 26, 37, 42, 43, 45, 7, 8, 11, 13, 19, 20, 24, 28, 34, 38, 47, 48, 2, 4, 10, 12, 16, 25, 30, 31, 33, 36, 41, 44, 6, 9, 14, 15, 23, 27, 29, 32, 35, 39, 40, 46]
287285 [main] INFO   - 	 Mutating...
287287 [main] INFO   - 	 Immigrating...
287289 [main] INFO   - 	 Sorting...
300457 [main] INFO   - 	 Crossing over...
300460 [main] INFO   - 	 Sorting...
313773 [main] INFO   - 	 Culling...
313783 [main] INFO   - 	 Reporting...
313783 [main] INFO   - 	 gen=10, highest: fit=0.99605;[1, 2, 11, 19, 25, 27, 29, 34, 35, 36, 39, 45, 5, 6, 7, 13, 18, 20, 23, 30, 31, 41, 43, 48, 9, 12, 15, 17, 21, 22, 26, 28, 32, 40, 42, 47, 3, 4, 8, 10, 14, 16, 24, 33, 37, 38, 44, 46]
313783 [main] INFO   - 	 gen=10, median: fit=0.9714;[7, 12, 15, 17, 22, 24, 25, 30, 33, 40, 42, 44, 4, 6, 8, 11, 16, 21, 26, 28, 31, 39, 45, 46, 9, 13, 18, 19, 23, 27, 29, 32, 34, 38, 41, 43, 1, 2, 3, 5, 10, 14, 20, 35, 36, 37, 47, 48]
313783 [main] INFO   - 	 Mutating...
313785 [main] INFO   - 	 Immigrating...
313786 [main] INFO   - 	 Sorting...
326965 [main] INFO   - 	 Crossing over...
326967 [main] INFO   - 	 Sorting...
340131 [main] INFO   - 	 Culling...
340148 [main] INFO   - 	 Reporting...
340148 [main] INFO   - 	 gen=11, highest: fit=0.99626;[7, 10, 15, 16, 18, 20, 29, 30, 37, 38, 39, 48, 1, 2, 12, 19, 23, 25, 32, 33, 35, 36, 41, 43, 4, 9, 17, 21, 22, 24, 26, 27, 31, 40, 44, 46, 3, 5, 6, 8, 11, 13, 14, 28, 34, 42, 45, 47]
