0    [main] INFO   - 	 === Sub-population #0 ===
0    [main] INFO   - 	 Initializing population...
44   [main] INFO   - 	 Mutating...
48   [main] INFO   - 	 Immigrating...
52   [main] INFO   - 	 Sorting...
9654 [main] INFO   - 	 Crossing over...
9670 [main] INFO   - 	 Sorting...
22938 [main] INFO   - 	 Culling...
22977 [main] INFO   - 	 Reporting...
22978 [main] INFO   - 	 gen=0, highest: fit=0.98896;[1, 2, 6, 14, 20, 24, 25, 30, 38, 39, 41, 47, 3, 4, 8, 17, 26, 27, 29, 33, 34, 36, 40, 46, 5, 9, 10, 12, 16, 18, 28, 31, 35, 42, 43, 44, 7, 11, 13, 15, 19, 21, 22, 23, 32, 37, 45, 48]
22978 [main] INFO   - 	 gen=0, median: fit=0.8976;[4, 8, 12, 13, 18, 23, 30, 32, 33, 38, 41, 47, 3, 5, 10, 14, 17, 20, 25, 28, 29, 39, 42, 43, 1, 7, 9, 11, 22, 24, 26, 27, 34, 35, 37, 46, 2, 6, 15, 16, 19, 21, 31, 36, 40, 44, 45, 48]
22978 [main] INFO   - 	 Mutating...
22981 [main] INFO   - 	 Immigrating...
22982 [main] INFO   - 	 Sorting...
30292 [main] INFO   - 	 Crossing over...
30296 [main] INFO   - 	 Sorting...
43545 [main] INFO   - 	 Culling...
43555 [main] INFO   - 	 Reporting...
43555 [main] INFO   - 	 gen=1, highest: fit=0.98896;[1, 2, 6, 14, 20, 24, 25, 30, 38, 39, 41, 47, 3, 4, 8, 17, 26, 27, 29, 33, 34, 36, 40, 46, 5, 9, 10, 12, 16, 18, 28, 31, 35, 42, 43, 44, 7, 11, 13, 15, 19, 21, 22, 23, 32, 37, 45, 48]
43555 [main] INFO   - 	 gen=1, median: fit=0.9161;[3, 6, 10, 13, 15, 16, 21, 28, 42, 45, 47, 48, 1, 4, 17, 18, 19, 22, 24, 29, 37, 38, 40, 46, 7, 8, 9, 20, 23, 25, 26, 27, 33, 34, 43, 44, 2, 5, 11, 12, 14, 30, 31, 32, 35, 36, 39, 41]
43556 [main] INFO   - 	 Mutating...
43558 [main] INFO   - 	 Immigrating...
43559 [main] INFO   - 	 Sorting...
50906 [main] INFO   - 	 Crossing over...
50910 [main] INFO   - 	 Sorting...
