0    [main] INFO   - 	 === Sub-population #0 ===
1    [main] INFO   - 	 Initializing population...
45   [main] INFO   - 	 Mutating...
49   [main] INFO   - 	 Immigrating...
52   [main] INFO   - 	 Sorting...
28943 [main] INFO   - 	 Crossing over...
28958 [main] INFO   - 	 Sorting...
33826 [main] INFO   - 	 Culling...
33861 [main] INFO   - 	 Reporting...
33861 [main] INFO   - 	 gen=0, highest: fit=0.9717;[3, 6, 9, 11, 24, 28, 30, 31, 35, 37, 38, 48, 1, 10, 15, 16, 20, 22, 26, 27, 34, 40, 43, 47, 4, 7, 12, 13, 14, 19, 21, 33, 36, 39, 42, 44, 2, 5, 8, 17, 18, 23, 25, 29, 32, 41, 45, 46]
33862 [main] INFO   - 	 gen=0, median: fit=0.91028125;[2, 11, 13, 15, 24, 25, 28, 31, 35, 41, 42, 43, 1, 3, 19, 20, 22, 26, 29, 34, 38, 44, 47, 48, 5, 7, 10, 12, 16, 27, 30, 32, 33, 36, 39, 45, 4, 6, 8, 9, 14, 17, 18, 21, 23, 37, 40, 46]
33862 [main] INFO   - 	 Mutating...
33864 [main] INFO   - 	 Immigrating...
33865 [main] INFO   - 	 Sorting...
42391 [main] INFO   - 	 Crossing over...
42395 [main] INFO   - 	 Sorting...
47102 [main] INFO   - 	 Culling...
47112 [main] INFO   - 	 Reporting...
47113 [main] INFO   - 	 gen=1, highest: fit=0.9717;[3, 6, 9, 11, 24, 28, 30, 31, 35, 37, 38, 48, 1, 10, 15, 16, 20, 22, 26, 27, 34, 40, 43, 47, 4, 7, 12, 13, 14, 19, 21, 33, 36, 39, 42, 44, 2, 5, 8, 17, 18, 23, 25, 29, 32, 41, 45, 46]
47113 [main] INFO   - 	 gen=1, median: fit=0.92203125;[1, 7, 11, 14, 19, 21, 23, 25, 35, 39, 43, 48, 3, 8, 9, 13, 16, 27, 28, 29, 30, 32, 36, 42, 2, 6, 10, 12, 22, 24, 26, 31, 33, 34, 40, 45, 4, 5, 15, 17, 18, 20, 37, 38, 41, 44, 46, 47]
47113 [main] INFO   - 	 Mutating...
47115 [main] INFO   - 	 Immigrating...
47116 [main] INFO   - 	 Sorting...
55338 [main] INFO   - 	 Crossing over...
55341 [main] INFO   - 	 Sorting...
60038 [main] INFO   - 	 Culling...
60047 [main] INFO   - 	 Reporting...
60048 [main] INFO   - 	 gen=2, highest: fit=0.9763125;[2, 6, 14, 16, 17, 21, 26, 30, 36, 37, 42, 47, 3, 4, 7, 13, 20, 25, 28, 34, 39, 40, 41, 45, 5, 9, 10, 11, 19, 22, 29, 31, 33, 38, 44, 46, 1, 8, 12, 15, 18, 23, 24, 27, 32, 35, 43, 48]
60048 [main] INFO   - 	 gen=2, median: fit=0.930453125;[5, 6, 9, 15, 16, 23, 27, 32, 40, 42, 45, 46, 2, 7, 12, 13, 17, 20, 22, 25, 30, 37, 43, 44, 1, 4, 11, 18, 19, 24, 28, 31, 38, 41, 47, 48, 3, 8, 10, 14, 21, 26, 29, 33, 34, 35, 36, 39]
60048 [main] INFO   - 	 Mutating...
60050 [main] INFO   - 	 Immigrating...
60051 [main] INFO   - 	 Sorting...
68288 [main] INFO   - 	 Crossing over...
68292 [main] INFO   - 	 Sorting...
73024 [main] INFO   - 	 Culling...
73035 [main] INFO   - 	 Reporting...
73035 [main] INFO   - 	 gen=3, highest: fit=0.9763125;[2, 6, 14, 16, 17, 21, 26, 30, 36, 37, 42, 47, 3, 4, 7, 13, 20, 25, 28, 34, 39, 40, 41, 45, 5, 9, 10, 11, 19, 22, 29, 31, 33, 38, 44, 46, 1, 8, 12, 15, 18, 23, 24, 27, 32, 35, 43, 48]
73035 [main] INFO   - 	 gen=3, median: fit=0.93571875;[1, 2, 7, 13, 20, 21, 23, 24, 26, 35, 39, 45, 5, 6, 11, 12, 17, 25, 28, 29, 33, 40, 41, 47, 9, 10, 15, 16, 18, 22, 27, 31, 38, 42, 43, 44, 3, 4, 8, 14, 19, 30, 32, 34, 36, 37, 46, 48]
73035 [main] INFO   - 	 Mutating...
73037 [main] INFO   - 	 Immigrating...
73039 [main] INFO   - 	 Sorting...
81258 [main] INFO   - 	 Crossing over...
81262 [main] INFO   - 	 Sorting...
85974 [main] INFO   - 	 Culling...
85984 [main] INFO   - 	 Reporting...
85984 [main] INFO   - 	 gen=4, highest: fit=0.9763125;[2, 6, 14, 16, 17, 21, 26, 30, 36, 37, 42, 47, 3, 4, 7, 13, 20, 25, 28, 34, 39, 40, 41, 45, 5, 9, 10, 11, 19, 22, 29, 31, 33, 38, 44, 46, 1, 8, 12, 15, 18, 23, 24, 27, 32, 35, 43, 48]
85985 [main] INFO   - 	 gen=4, median: fit=0.94040625;[3, 6, 8, 12, 16, 23, 26, 36, 40, 42, 43, 44, 1, 14, 15, 17, 24, 27, 28, 29, 31, 34, 37, 46, 4, 5, 10, 18, 20, 22, 30, 32, 33, 35, 45, 47, 2, 7, 9, 11, 13, 19, 21, 25, 38, 39, 41, 48]
85985 [main] INFO   - 	 Mutating...
85987 [main] INFO   - 	 Immigrating...
85988 [main] INFO   - 	 Sorting...
94219 [main] INFO   - 	 Crossing over...
94223 [main] INFO   - 	 Sorting...
98925 [main] INFO   - 	 Culling...
98935 [main] INFO   - 	 Reporting...
98936 [main] INFO   - 	 gen=5, highest: fit=0.9763125;[2, 6, 14, 16, 17, 21, 26, 30, 36, 37, 42, 47, 3, 4, 7, 13, 20, 25, 28, 34, 39, 40, 41, 45, 5, 9, 10, 11, 19, 22, 29, 31, 33, 38, 44, 46, 1, 8, 12, 15, 18, 23, 24, 27, 32, 35, 43, 48]
98936 [main] INFO   - 	 gen=5, median: fit=0.943578125;[3, 5, 8, 11, 16, 21, 23, 30, 34, 36, 38, 44, 2, 13, 14, 18, 24, 27, 28, 31, 35, 37, 41, 46, 4, 6, 10, 15, 17, 20, 26, 29, 33, 43, 47, 48, 1, 7, 9, 12, 19, 22, 25, 32, 39, 40, 42, 45]
98936 [main] INFO   - 	 Mutating...
98938 [main] INFO   - 	 Immigrating...
98939 [main] INFO   - 	 Sorting...
107170 [main] INFO   - 	 Crossing over...
107174 [main] INFO   - 	 Sorting...
111900 [main] INFO   - 	 Culling...
111910 [main] INFO   - 	 Reporting...
111910 [main] INFO   - 	 gen=6, highest: fit=0.9763125;[2, 6, 14, 16, 17, 21, 26, 30, 36, 37, 42, 47, 3, 4, 7, 13, 20, 25, 28, 34, 39, 40, 41, 45, 5, 9, 10, 11, 19, 22, 29, 31, 33, 38, 44, 46, 1, 8, 12, 15, 18, 23, 24, 27, 32, 35, 43, 48]
111911 [main] INFO   - 	 gen=6, median: fit=0.94675;[3, 4, 9, 14, 16, 19, 20, 35, 36, 39, 42, 48, 5, 7, 8, 18, 22, 24, 26, 29, 32, 33, 37, 47, 1, 11, 12, 13, 17, 23, 27, 30, 34, 38, 40, 46, 2, 6, 10, 15, 21, 25, 28, 31, 41, 43, 44, 45]
111911 [main] INFO   - 	 Mutating...
111913 [main] INFO   - 	 Immigrating...
111914 [main] INFO   - 	 Sorting...
120132 [main] INFO   - 	 Crossing over...
120136 [main] INFO   - 	 Sorting...
124834 [main] INFO   - 	 Culling...
124844 [main] INFO   - 	 Reporting...
124845 [main] INFO   - 	 gen=7, highest: fit=0.9763125;[2, 6, 14, 16, 17, 21, 26, 30, 36, 37, 42, 47, 3, 4, 7, 13, 20, 25, 28, 34, 39, 40, 41, 45, 5, 9, 10, 11, 19, 22, 29, 31, 33, 38, 44, 46, 1, 8, 12, 15, 18, 23, 24, 27, 32, 35, 43, 48]
124845 [main] INFO   - 	 gen=7, median: fit=0.9488125000000001;[1, 8, 16, 18, 22, 25, 29, 31, 39, 42, 44, 45, 4, 5, 12, 13, 14, 28, 30, 33, 34, 35, 36, 47, 2, 7, 11, 15, 17, 19, 20, 27, 37, 38, 46, 48, 3, 6, 9, 10, 21, 23, 24, 26, 32, 40, 41, 43]
124845 [main] INFO   - 	 Mutating...
124847 [main] INFO   - 	 Immigrating...
124848 [main] INFO   - 	 Sorting...
133087 [main] INFO   - 	 Crossing over...
133091 [main] INFO   - 	 Sorting...
137800 [main] INFO   - 	 Culling...
137810 [main] INFO   - 	 Reporting...
137810 [main] INFO   - 	 gen=8, highest: fit=0.979421875;[1, 5, 15, 18, 20, 22, 25, 28, 33, 43, 44, 45, 2, 4, 10, 13, 16, 24, 27, 30, 31, 38, 41, 47, 3, 11, 12, 14, 17, 21, 23, 32, 37, 39, 40, 48, 6, 7, 8, 9, 19, 26, 29, 34, 35, 36, 42, 46]
137811 [main] INFO   - 	 gen=8, median: fit=0.95109375;[1, 9, 13, 18, 22, 26, 27, 30, 34, 39, 42, 48, 2, 4, 6, 12, 15, 20, 24, 36, 37, 38, 41, 43, 3, 5, 11, 14, 25, 28, 29, 32, 33, 35, 44, 46, 7, 8, 10, 16, 17, 19, 21, 23, 31, 40, 45, 47]
137811 [main] INFO   - 	 Mutating...
137813 [main] INFO   - 	 Immigrating...
137814 [main] INFO   - 	 Sorting...
146071 [main] INFO   - 	 Crossing over...
146074 [main] INFO   - 	 Sorting...
150822 [main] INFO   - 	 Culling...
150833 [main] INFO   - 	 Reporting...
150833 [main] INFO   - 	 gen=9, highest: fit=0.979421875;[1, 5, 15, 18, 20, 22, 25, 28, 33, 43, 44, 45, 2, 4, 10, 13, 16, 24, 27, 30, 31, 38, 41, 47, 3, 11, 12, 14, 17, 21, 23, 32, 37, 39, 40, 48, 6, 7, 8, 9, 19, 26, 29, 34, 35, 36, 42, 46]
150833 [main] INFO   - 	 gen=9, median: fit=0.953046875;[2, 4, 5, 16, 19, 20, 22, 32, 35, 41, 42, 48, 3, 7, 8, 18, 24, 26, 29, 33, 36, 37, 39, 47, 6, 11, 12, 15, 17, 23, 25, 27, 31, 40, 43, 46, 1, 9, 10, 13, 14, 21, 28, 30, 34, 38, 44, 45]
150833 [main] INFO   - 	 Mutating...
150836 [main] INFO   - 	 Immigrating...
150837 [main] INFO   - 	 Sorting...
159198 [main] INFO   - 	 Crossing over...
159202 [main] INFO   - 	 Sorting...
163920 [main] INFO   - 	 Culling...
163930 [main] INFO   - 	 Reporting...
163931 [main] INFO   - 	 gen=10, highest: fit=0.9809375;[1, 5, 15, 18, 20, 22, 25, 28, 33, 43, 44, 45, 2, 4, 10, 13, 16, 24, 27, 30, 31, 38, 41, 47, 3, 11, 12, 14, 17, 21, 23, 32, 37, 39, 40, 48, 6, 7, 8, 9, 19, 26, 29, 34, 35, 36, 42, 46]
163931 [main] INFO   - 	 gen=10, median: fit=0.9549375;[8, 10, 12, 17, 19, 20, 21, 30, 32, 41, 43, 46, 4, 5, 6, 15, 18, 22, 24, 28, 34, 36, 38, 48, 3, 7, 9, 11, 23, 27, 31, 33, 35, 37, 40, 47, 1, 2, 13, 14, 16, 25, 26, 29, 39, 42, 44, 45]
163931 [main] INFO   - 	 Mutating...
163934 [main] INFO   - 	 Immigrating...
163935 [main] INFO   - 	 Sorting...
172360 [main] INFO   - 	 Crossing over...
172364 [main] INFO   - 	 Sorting...
177090 [main] INFO   - 	 Culling...
177100 [main] INFO   - 	 Reporting...
177100 [main] INFO   - 	 gen=11, highest: fit=0.9809375;[1, 5, 15, 18, 20, 22, 25, 28, 33, 43, 44, 45, 2, 4, 10, 13, 16, 24, 27, 30, 31, 38, 41, 47, 3, 11, 12, 14, 17, 21, 23, 32, 37, 39, 40, 48, 6, 7, 8, 9, 19, 26, 29, 34, 35, 36, 42, 46]
177100 [main] INFO   - 	 gen=11, median: fit=0.956671875;[3, 10, 11, 12, 14, 16, 25, 31, 34, 38, 42, 46, 2, 4, 15, 17, 19, 20, 28, 30, 36, 37, 45, 47, 1, 7, 8, 9, 13, 21, 27, 33, 39, 40, 41, 43, 5, 6, 18, 22, 23, 24, 26, 29, 32, 35, 44, 48]
177100 [main] INFO   - 	 Mutating...
177103 [main] INFO   - 	 Immigrating...
177104 [main] INFO   - 	 Sorting...
185518 [main] INFO   - 	 Crossing over...
185521 [main] INFO   - 	 Sorting...
190233 [main] INFO   - 	 Culling...
190243 [main] INFO   - 	 Reporting...
190244 [main] INFO   - 	 gen=12, highest: fit=0.984578125;[4, 5, 12, 14, 21, 22, 27, 31, 36, 38, 39, 48, 1, 7, 13, 15, 23, 24, 25, 26, 29, 41, 44, 45, 2, 6, 11, 16, 17, 20, 28, 33, 35, 40, 42, 47, 3, 8, 9, 10, 18, 19, 30, 32, 34, 37, 43, 46]
190244 [main] INFO   - 	 gen=12, median: fit=0.958125;[3, 8, 9, 12, 23, 26, 28, 30, 35, 38, 41, 46, 1, 4, 14, 15, 20, 24, 27, 29, 33, 42, 45, 47, 2, 5, 7, 16, 17, 18, 21, 31, 34, 37, 44, 48, 6, 10, 11, 13, 19, 22, 25, 32, 36, 39, 40, 43]
190244 [main] INFO   - 	 Mutating...
190247 [main] INFO   - 	 Immigrating...
190248 [main] INFO   - 	 Sorting...
198667 [main] INFO   - 	 Crossing over...
198671 [main] INFO   - 	 Sorting...
203393 [main] INFO   - 	 Culling...
203403 [main] INFO   - 	 Reporting...
203403 [main] INFO   - 	 gen=13, highest: fit=0.984578125;[4, 5, 12, 14, 21, 22, 27, 31, 36, 38, 39, 48, 1, 7, 13, 15, 23, 24, 25, 26, 29, 41, 44, 45, 2, 6, 11, 16, 17, 20, 28, 33, 35, 40, 42, 47, 3, 8, 9, 10, 18, 19, 30, 32, 34, 37, 43, 46]
203404 [main] INFO   - 	 gen=13, median: fit=0.959265625;[6, 9, 10, 11, 21, 23, 30, 34, 35, 38, 42, 45, 5, 8, 12, 16, 20, 22, 24, 27, 32, 37, 41, 48, 2, 4, 7, 14, 15, 25, 28, 31, 36, 39, 44, 47, 1, 3, 13, 17, 18, 19, 26, 29, 33, 40, 43, 46]
203404 [main] INFO   - 	 Mutating...
203407 [main] INFO   - 	 Immigrating...
