0    [main] INFO   - 	 === Sub-population #0 ===
0    [main] INFO   - 	 Initializing population...
42   [main] INFO   - 	 Mutating...
46   [main] INFO   - 	 Immigrating...
49   [main] INFO   - 	 Sorting...
27653 [main] INFO   - 	 Crossing over...
27668 [main] INFO   - 	 Sorting...
32259 [main] INFO   - 	 Culling...
32295 [main] INFO   - 	 Reporting...
32296 [main] INFO   - 	 gen=0, highest: fit=0.97204375;[1, 5, 15, 17, 21, 23, 25, 31, 35, 36, 41, 46, 2, 9, 11, 14, 19, 20, 22, 34, 37, 39, 42, 44, 3, 10, 12, 13, 16, 24, 28, 30, 33, 40, 43, 48, 4, 6, 7, 8, 18, 26, 27, 29, 32, 38, 45, 47]
32296 [main] INFO   - 	 gen=0, median: fit=0.9088937500000001;[5, 7, 8, 17, 18, 20, 29, 35, 37, 40, 42, 45, 2, 4, 9, 13, 15, 22, 25, 26, 27, 38, 44, 46, 10, 16, 19, 21, 23, 28, 31, 32, 34, 43, 47, 48, 1, 3, 6, 11, 12, 14, 24, 30, 33, 36, 39, 41]
32296 [main] INFO   - 	 Mutating...
32298 [main] INFO   - 	 Immigrating...
32299 [main] INFO   - 	 Sorting...
40373 [main] INFO   - 	 Crossing over...
40377 [main] INFO   - 	 Sorting...
44981 [main] INFO   - 	 Culling...
44992 [main] INFO   - 	 Reporting...
44993 [main] INFO   - 	 gen=1, highest: fit=0.97728125;[3, 6, 12, 15, 21, 22, 23, 26, 27, 37, 43, 48, 2, 7, 10, 16, 18, 19, 34, 35, 36, 38, 40, 44, 1, 8, 13, 14, 17, 20, 30, 31, 33, 41, 45, 46, 4, 5, 9, 11, 24, 25, 28, 29, 32, 39, 42, 47]
44993 [main] INFO   - 	 gen=1, median: fit=0.920453125;[3, 5, 9, 15, 17, 19, 27, 30, 34, 35, 42, 48, 2, 4, 10, 11, 12, 22, 25, 36, 40, 44, 45, 47, 1, 6, 16, 18, 20, 21, 24, 29, 31, 32, 39, 41, 7, 8, 13, 14, 23, 26, 28, 33, 37, 38, 43, 46]
44993 [main] INFO   - 	 Mutating...
