0    [main] INFO   - 	 === Sub-population #0 ===
1    [main] INFO   - 	 Initializing population...
43   [main] INFO   - 	 Mutating...
47   [main] INFO   - 	 Immigrating...
50   [main] INFO   - 	 Sorting...
26338 [main] INFO   - 	 Crossing over...
26354 [main] INFO   - 	 Sorting...
30716 [main] INFO   - 	 Culling...
30755 [main] INFO   - 	 Reporting...
30756 [main] INFO   - 	 gen=0, highest: fit=0.970515625;[2, 4, 15, 18, 19, 21, 24, 30, 31, 38, 47, 48, 3, 7, 8, 17, 20, 22, 25, 26, 35, 36, 43, 46, 1, 6, 9, 13, 14, 23, 27, 29, 33, 40, 41, 45, 5, 10, 11, 12, 16, 28, 32, 34, 37, 39, 42, 44]
30756 [main] INFO   - 	 gen=0, median: fit=0.9109375;[3, 12, 14, 17, 18, 19, 22, 26, 37, 41, 42, 43, 1, 2, 10, 11, 20, 23, 28, 30, 31, 34, 36, 39, 5, 7, 15, 24, 25, 27, 29, 33, 40, 44, 47, 48, 4, 6, 8, 9, 13, 16, 21, 32, 35, 38, 45, 46]
30756 [main] INFO   - 	 Mutating...
30758 [main] INFO   - 	 Immigrating...
30759 [main] INFO   - 	 Sorting...
38470 [main] INFO   - 	 Crossing over...
38473 [main] INFO   - 	 Sorting...
42838 [main] INFO   - 	 Culling...
42849 [main] INFO   - 	 Reporting...
42849 [main] INFO   - 	 gen=1, highest: fit=0.97134375;[3, 5, 6, 11, 20, 30, 31, 32, 35, 36, 37, 45, 1, 8, 10, 13, 21, 23, 26, 27, 39, 41, 43, 46, 2, 9, 14, 16, 17, 19, 24, 28, 29, 40, 44, 48, 4, 7, 12, 15, 18, 22, 25, 33, 34, 38, 42, 47]
42849 [main] INFO   - 	 gen=1, median: fit=0.9214218750000001;[4, 5, 11, 15, 19, 24, 29, 35, 38, 40, 43, 48, 1, 6, 8, 10, 14, 22, 28, 30, 31, 37, 45, 47, 2, 3, 7, 12, 13, 20, 23, 25, 36, 39, 41, 42, 9, 16, 17, 18, 21, 26, 27, 32, 33, 34, 44, 46]
42849 [main] INFO   - 	 Mutating...
42851 [main] INFO   - 	 Immigrating...
42852 [main] INFO   - 	 Sorting...
50511 [main] INFO   - 	 Crossing over...
50514 [main] INFO   - 	 Sorting...
54904 [main] INFO   - 	 Culling...
54915 [main] INFO   - 	 Reporting...
